2026-04-19 19:47:54	launcher	session	running		creating tmux session 
2026-04-19 19:47:55	preflight	preflight	running	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/preflight/2026-04-19_19-47-54.log	starting 
2026-04-19 19:48:15	preflight	preflight	failed	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/preflight/2026-04-19_19-47-54.log	post-run strict artifact validation failed 
2026-04-19 19:48:17	preflight	calibration_v1	skipped_existing	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/calibration_v1/2026-04-19_19-48-16.log	strict artifact check passed 
2026-04-19 19:48:17	preflight	preflight	done		stage complete 
2026-04-19 19:48:21	phase_a	A0_claim_hygiene	skipped_existing	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/A0_claim_hygiene/2026-04-19_19-48-19.log	strict artifact check passed 
2026-04-19 19:48:21	phase_b_core	B2a_head_alignment	skipped_existing	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/B2a_head_alignment/2026-04-19_19-48-19.log	strict artifact check passed 
2026-04-19 19:48:21	phase_b_core	B1_kernel_taxonomy	running	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/B1_kernel_taxonomy/2026-04-19_19-48-19.log	starting 
2026-04-19 19:48:22	phase_a	A1_evidence_consolidation	skipped_existing	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/A1_evidence_consolidation/2026-04-19_19-48-21.log	strict artifact check passed 
2026-04-19 19:48:23	phase_a	A2_prediction_layer	skipped_existing	/jumbo/lisp/f004ndc/Kernel PE/logs/reinforce_exp2/A2_prediction_layer/2026-04-19_19-48-22.log	strict artifact check passed 
2026-04-19 19:48:23	phase_a	phase_a	done		stage complete 
