model,family,source_path,n_heads,mean_r2,median_r2,q25_r2,q75_r2,std_r2,min_r2,max_r2
gemma-2-9b,gemma,/jumbo/lisp/f004ndc/Kernel PE/results/reinforce_exp3/E5_fourth_model/gemma-2-9b/head_r2_summary.parquet,672,0.8683999726199971,0.9566978969902807,0.8421521976497148,0.9871476067085246,0.1892990033809224,0.07065599994915872,0.999999963169052
qwen2.5-7b,qwen,/jumbo/lisp/f004ndc/Kernel PE/results/reinforce_exp3/E29c_qwen_anchor_quickcheck/qwen2.5-7b/head_r2_summary.parquet,784,0.6050761792752161,0.6235343577121508,0.5653958673558273,0.6823020712167014,0.14309189455114615,0.0020494251145600356,0.9283209906718487
llama-3.1-8b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/llama-3.1-8b/head_r2_summary.parquet,1024,0.38032241997453253,0.38846799626058587,0.2544859517072639,0.5040274402472171,0.1560952963281312,0.003607564349222483,0.9015342362758068
gpt2-small,gpt2,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/gpt2-small/head_r2_summary.parquet,144,0.36637833147960486,0.29998737333229336,0.08450485485567609,0.6526173676510155,0.2819202292414617,0.003057828434602635,0.7630527811030811
tinyllama-1.1b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/tinyllama-1.1b/head_r2_summary.parquet,704,0.30445092261682577,0.314169552494735,0.17046924026556845,0.4193711957676987,0.1631325609355945,0.0017685985326371945,0.8518398587166823
gpt2-medium,gpt2,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/gpt2-medium/head_r2_summary.parquet,384,0.29898634711878674,0.18609926911176683,0.0790605564655692,0.5838743404809811,0.2559493501253545,0.0012789666929778343,0.8021142116614769
mistral-7b-v0.1,mistral,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/mistral-7b-v0.1/head_r2_summary.parquet,1024,0.2657672483381823,0.2400933664573329,0.1555667250699251,0.36878084903532166,0.14299567438082036,0.0015577928860011881,0.8606038855241489
tinyllama-nope-1.1b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/tinyllama-nope-1.1b/head_r2_summary.parquet,704,0.08681722800115149,0.05620011265042714,0.0024661940739812687,0.16905438217397434,0.08738268538464897,0.0,0.3499081110803735
olmo-2-7b,olmo,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/olmo-2-7b/head_r2_summary.parquet,1024,0.05764024118507547,0.045697724745420186,0.015304468881022541,0.08142806395624953,0.05841877406498864,0.0,0.568987955296311
pythia-1.4b,pythia,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/pythia-1.4b/head_r2_summary.parquet,384,0.006534230229232096,0.004897710645008277,0.0,0.009830254602773824,0.007431111617858325,0.0,0.049155906212031086
pythia-410m,pythia,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/pythia-410m/head_r2_summary.parquet,384,0.006197489897107292,0.004443150242974069,0.0,0.0107788998444698,0.006958753759895474,0.0,0.04572941490340136
