model,family,source_path,n_heads,mean_r2,median_r2,q25_r2,q75_r2,std_r2,min_r2,max_r2,pe_kind,config_source,head_dim,rope_theta,seq_len_eval,mu1,mu_welch,eta_welch_gap,config_error
gemma-2-9b,gemma,/jumbo/lisp/f004ndc/Kernel PE/results/reinforce_exp3/E5_fourth_model/gemma-2-9b/head_r2_summary.parquet,672,0.8683999726199971,0.9566978969902808,0.8421521976497148,0.9871476067085246,0.1892990033809224,0.0706559999491587,0.999999963169052,rope,autoconfig_local_or_online,224,10000.0,512,0.9718590735871422,0.05016049165548453,19.37499098418186,
qwen2.5-7b,qwen,/jumbo/lisp/f004ndc/Kernel PE/results/reinforce_exp3/E29c_qwen_anchor_quickcheck/qwen2.5-7b/head_r2_summary.parquet,784,0.6050761792752161,0.6235343577121508,0.5653958673558273,0.6823020712167014,0.1430918945511461,0.00204942511456,0.9283209906718488,rope,autoconfig_local_or_online,128,1000000.0,512,0.9788142984737259,0.07662141663581953,12.77468286870779,
llama-3.1-8b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/llama-3.1-8b/head_r2_summary.parquet,1024,0.3803224199745325,0.3884679962605858,0.2544859517072639,0.5040274402472171,0.1560952963281312,0.0036075643492224,0.9015342362758068,rope,autoconfig_local_or_online,128,500000.0,512,0.9779092241697681,0.07662141663581953,12.762870579876594,
gpt2-small,gpt2,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/gpt2-small/head_r2_summary.parquet,144,0.3663783314796048,0.2999873733322933,0.084504854855676,0.6526173676510155,0.2819202292414617,0.0030578284346026,0.7630527811030811,absolute,autoconfig_local_or_online,64,10000.0,512,0.9661509894255946,0.11704114719613055,8.25479767219452,
tinyllama-1.1b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/tinyllama-1.1b/head_r2_summary.parquet,704,0.3044509226168257,0.314169552494735,0.1704692402655684,0.4193711957676987,0.1631325609355945,0.0017685985326371,0.8518398587166823,rope,autoconfig_local_or_online,64,10000.0,512,0.9661509894255946,0.11704114719613055,8.25479767219452,
gpt2-medium,gpt2,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/gpt2-medium/head_r2_summary.parquet,384,0.2989863471187867,0.1860992691117668,0.0790605564655692,0.5838743404809811,0.2559493501253545,0.0012789666929778,0.8021142116614769,absolute,autoconfig_local_or_online,64,10000.0,512,0.9661509894255946,0.11704114719613055,8.25479767219452,
mistral-7b-v0.1,mistral,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/mistral-7b-v0.1/head_r2_summary.parquet,1024,0.2657672483381823,0.2400933664573329,0.1555667250699251,0.3687808490353216,0.1429956743808203,0.0015577928860011,0.8606038855241489,rope,autoconfig_local_or_online,128,10000.0,512,0.9702138094651191,0.07662141663581953,12.662436327385215,
tinyllama-nope-1.1b,llama,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/tinyllama-nope-1.1b/head_r2_summary.parquet,704,0.0868172280011514,0.0562001126504271,0.0024661940739812,0.1690543821739743,0.0873826853846489,0.0,0.3499081110803735,none,autoconfig_local_or_online,64,10000.0,512,0.0,0.11704114719613055,0.0,
olmo-2-7b,olmo,/jumbo/lisp/f004ndc/Kernel PE/results/experiment3/theory1_si_circuits/olmo-2-7b/head_r2_summary.parquet,1024,0.0576402411850754,0.0456977247454201,0.0153044688810225,0.0814280639562495,0.0584187740649886,0.0,0.568987955296311,rope,autoconfig_local_or_online,128,500000.0,512,0.9779092241697681,0.07662141663581953,12.762870579876594,
pythia-1.4b,pythia,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/pythia-1.4b/head_r2_summary.parquet,384,0.006534230229232,0.0048977106450082,0.0,0.0098302546027738,0.0074311116178583,0.0,0.049155906212031,rope,autoconfig_local_or_online,128,10000.0,512,0.9702138094651191,0.07662141663581953,12.662436327385215,
pythia-410m,pythia,/jumbo/lisp/f004ndc/Kernel PE/results/experiment5/exp5a_cross_tokenizer_si_profiling/pythia-410m/head_r2_summary.parquet,384,0.0061974898971072,0.004443150242974,0.0,0.0107788998444698,0.0069587537598954,0.0,0.0457294149034013,rope,autoconfig_local_or_online,64,10000.0,512,0.9661509894255946,0.11704114719613055,8.25479767219452,
